order_id,customer_id,order_date,status,total_amount,shipping_method,shipping_address,billing_address,payment_method,delivery_date,site_id
ORD0000016,CUS000090,2024-10-02 21:09:41,Delivered,8351.1,Next Day,9210 Morris Turnpike Suite 212,9210 Morris Turnpike Suite 212,Bank Transfer,2024-10-05,LOC005
ORD0000017,CUS000040,2024-10-02 15:11:41,Delivered,6529.88,Standard,9433 Jackie Key,9433 Jackie Key,Credit Card,2024-10-03,LOC001
ORD0000018,CUS000075,2024-10-03 02:03:41,Delivered,4756.71,Standard,10585 Shaun Squares Suite 674,10585 Shaun Squares Suite 674,PayPal,2024-10-10,LOC006
ORD0000019,CUS000100,2024-10-02 13:26:41,Delivered,4493.36,Standard,14536 Holly Trail,14536 Holly Trail,Credit Card,2024-10-07,LOC020
ORD0000020,CUS000067,2024-10-02 16:37:41,Delivered,8877.86,Standard,4937 Brown Turnpike Suite 240,4937 Brown Turnpike Suite 240,Bank Transfer,2024-10-08,LOC014
ORD0000021,CUS000024,2024-10-02 21:44:41,Delivered,6364.48,Pick up in store,574 Gonzales Lodge Apt. 681,574 Gonzales Lodge Apt. 681,PayPal,2024-10-08,LOC004
ORD0000022,CUS000021,2024-10-02 19:49:41,Delivered,2168.18,Next Day,873 Paul Lakes,873 Paul Lakes,Bank Transfer,2024-10-08,LOC018
ORD0000023,CUS000016,2024-10-02 13:39:41,Delivered,122.71,Standard,517 Lester Brook,517 Lester Brook,PayPal,2024-10-03,LOC016
ORD0000024,CUS000045,2024-10-02 22:30:41,Delivered,2482.48,Standard,14062 Oliver Spurs,14062 Oliver Spurs,Bank Transfer,2024-10-06,LOC018
ORD0000025,CUS000045,2024-10-02 11:32:41,Delivered,2976.16,Express,14062 Oliver Spurs,14062 Oliver Spurs,Credit Card,2024-10-08,LOC006
ORD0000026,CUS000099,2024-10-03 14:36:41,Delivered,1243.8,Express,385 Diana Mountain,385 Diana Mountain,Credit Card,2024-10-05,LOC017
ORD0000027,CUS000008,2024-10-04 00:51:41,Delivered,8687.87,Express,949 Mueller Mission,949 Mueller Mission,Bank Transfer,2024-10-10,LOC003
ORD0000028,CUS000081,2024-10-03 22:45:41,Delivered,8514.2,Express,335 Kyle Crescent Apt. 760,335 Kyle Crescent Apt. 760,PayPal,2024-10-04,LOC014
ORD0000029,CUS000044,2024-10-04 06:49:41,Delivered,3183.1,Express,28472 Anderson Bypass,28472 Anderson Bypass,Bank Transfer,2024-10-10,LOC016
ORD0000030,CUS000052,2024-10-03 17:39:41,Delivered,3950.1,Standard,28803 Kyle Island,28803 Kyle Island,Bank Transfer,2024-10-05,LOC013
ORD0000031,CUS000042,2024-10-04 10:34:41,Delivered,4096.33,Pick up in store,19899 Mark Way Suite 871,19899 Mark Way Suite 871,Credit Card,2024-10-05,LOC013
ORD0000032,CUS000061,2024-10-04 04:17:41,Delivered,294.77,Express,8595 Joshua Pine,8595 Joshua Pine,Credit Card,2024-10-11,LOC012
ORD0000033,CUS000038,2024-10-03 15:22:41,Delivered,4238.26,Next Day,811 Leonard Ford Apt. 102,811 Leonard Ford Apt. 102,Credit Card,2024-10-08,LOC020
ORD0000034,CUS000051,2024-10-03 14:09:41,Delivered,7193.15,Next Day,563 Jones Fields Suite 934,563 Jones Fields Suite 934,PayPal,2024-10-10,LOC003
ORD0000035,CUS000005,2024-10-03 18:51:41,Delivered,6925.08,Express,55835 Christopher Parkways Suite 486,55835 Christopher Parkways Suite 486,Bank Transfer,2024-10-07,LOC011
ORD0000036,CUS000091,2024-10-03 16:06:41,Delivered,3727.2999999999997,Standard,7372 Marshall Haven,7372 Marshall Haven,Bank Transfer,2024-10-07,LOC007
ORD0000037,CUS000038,2024-10-04 04:18:41,Delivered,1131.14,Pick up in store,811 Leonard Ford Apt. 102,811 Leonard Ford Apt. 102,PayPal,2024-10-07,LOC010
ORD0000038,CUS000014,2024-10-03 11:51:41,Delivered,4610.08,Next Day,240 Lewis Park,240 Lewis Park,PayPal,2024-10-06,LOC011
ORD0000039,CUS000062,2024-10-03 22:41:41,Delivered,462.25,Pick up in store,9634 Thomas Vista,9634 Thomas Vista,Credit Card,2024-10-08,LOC004
ORD0000040,CUS000002,2024-10-03 15:09:41,Delivered,3268.04,Standard,7944 Rich Turnpike,7944 Rich Turnpike,Credit Card,2024-10-07,LOC007
ORD0000041,CUS000056,2024-10-03 20:47:41,Delivered,2038.4099999999999,Next Day,5399 Pierce Gardens Suite 720,5399 Pierce Gardens Suite 720,Bank Transfer,2024-10-08,LOC006
ORD0000042,CUS000020,2024-10-04 03:24:41,Delivered,1359.1200000000001,Next Day,63649 Robinson Court,63649 Robinson Court,PayPal,2024-10-06,LOC015
ORD0000043,CUS000022,2024-10-03 19:55:41,Delivered,2786.03,Pick up in store,290 Hodges Pine,290 Hodges Pine,Credit Card,2024-10-05,LOC013
ORD0000044,CUS000091,2024-10-03 23:26:41,Delivered,6831.25,Express,7372 Marshall Haven,7372 Marshall Haven,Credit Card,2024-10-06,LOC005
ORD0000045,CUS000051,2024-10-04 06:34:41,Delivered,473.76,Express,563 Jones Fields Suite 934,563 Jones Fields Suite 934,Credit Card,2024-10-09,LOC014
ORD0000046,CUS000023,2024-10-03 15:20:41,Delivered,7258.0,Next Day,245 Hall Cove,245 Hall Cove,PayPal,2024-10-09,LOC001
ORD0000047,CUS000090,2024-10-03 22:32:41,Delivered,1801.53,Standard,9210 Morris Turnpike Suite 212,9210 Morris Turnpike Suite 212,Credit Card,2024-10-10,LOC001
ORD0000048,CUS000027,2024-10-03 13:41:41,Delivered,7506.459999999999,Standard,8148 John Course Suite 159,8148 John Course Suite 159,Bank Transfer,2024-10-10,LOC020
ORD0000049,CUS000010,2024-10-04 04:25:41,Delivered,3980.7400000000002,Pick up in store,386 Brian Gateway,386 Brian Gateway,Bank Transfer,2024-10-08,LOC013
ORD0000050,CUS000072,2024-10-03 20:10:41,Delivered,4495.5199999999995,Express,022 Brennan Vista,022 Brennan Vista,Bank Transfer,2024-10-05,LOC001
ORD0000051,CUS000005,2024-10-03 20:20:41,Delivered,4982.19,Express,55835 Christopher Parkways Suite 486,55835 Christopher Parkways Suite 486,Credit Card,2024-10-06,LOC002
ORD0000052,CUS000010,2024-10-04 00:32:41,Delivered,2265.2000000000003,Pick up in store,386 Brian Gateway,386 Brian Gateway,Credit Card,2024-10-07,LOC005
ORD0000053,CUS000058,2024-10-05 04:46:41,Delivered,1915.65,Express,6387 Susan Roads,6387 Susan Roads,Bank Transfer,2024-10-11,LOC002
ORD0000054,CUS000054,2024-10-05 02:07:41,Delivered,294.77,Next Day,00532 Matthew Fork Suite 143,00532 Matthew Fork Suite 143,PayPal,2024-10-06,LOC004
ORD0000055,CUS000092,2024-10-05 04:20:41,Delivered,4271.1,Pick up in store,441 Nichols Glen,441 Nichols Glen,PayPal,2024-10-11,LOC010
ORD0000056,CUS000007,2024-10-05 01:13:41,Delivered,1098.84,Next Day,64048 Golden Mount Suite 491,64048 Golden Mount Suite 491,Credit Card,2024-10-11,LOC003
ORD0000057,CUS000079,2024-10-04 16:00:41,Delivered,3081.76,Pick up in store,34676 Chan Brooks,34676 Chan Brooks,Bank Transfer,2024-10-11,LOC008
ORD0000058,CUS000095,2024-10-04 17:55:41,Delivered,1326.34,Express,1425 Williams Mountain,1425 Williams Mountain,PayPal,2024-10-08,LOC009
ORD0000059,CUS000027,2024-10-05 10:05:41,Delivered,3611.45,Express,8148 John Course Suite 159,8148 John Course Suite 159,Bank Transfer,2024-10-06,LOC010
ORD0000060,CUS000071,2024-10-05 07:45:41,Delivered,2022.73,Pick up in store,085 Aaron Crescent Apt. 676,085 Aaron Crescent Apt. 676,Bank Transfer,2024-10-11,LOC014
ORD0000061,CUS000053,2024-10-04 21:43:41,Delivered,6189.15,Standard,92512 Armstrong Station,92512 Armstrong Station,PayPal,2024-10-10,LOC011
ORD0000062,CUS000023,2024-10-04 17:05:41,Delivered,462.25,Pick up in store,245 Hall Cove,245 Hall Cove,Credit Card,2024-10-05,LOC019
ORD0000063,CUS000041,2024-10-04 18:32:41,Delivered,2609.89,Pick up in store,312 Mathew Route Suite 835,312 Mathew Route Suite 835,Credit Card,2024-10-07,LOC017
ORD0000064,CUS000021,2024-10-05 09:46:41,Delivered,4705.0,Pick up in store,873 Paul Lakes,873 Paul Lakes,PayPal,2024-10-11,LOC012
ORD0000065,CUS000002,2024-10-04 17:37:41,Delivered,3117.87,Standard,7944 Rich Turnpike,7944 Rich Turnpike,PayPal,2024-10-09,LOC020
ORD0000066,CUS000033,2024-10-05 09:22:41,Delivered,5851.4,Pick up in store,32833 Harris Fall,32833 Harris Fall,Credit Card,2024-10-08,LOC013
ORD0000067,CUS000016,2024-10-04 11:58:41,Delivered,5521.82,Express,517 Lester Brook,517 Lester Brook,Credit Card,2024-10-10,LOC014
ORD0000068,CUS000027,2024-10-05 02:00:41,Delivered,2493.09,Next Day,8148 John Course Suite 159,8148 John Course Suite 159,Bank Transfer,2024-10-06,LOC011
ORD0000069,CUS000044,2024-10-04 16:43:41,Delivered,142.41,Express,28472 Anderson Bypass,28472 Anderson Bypass,Bank Transfer,2024-10-06,LOC007
ORD0000070,CUS000008,2024-10-04 15:24:41,Delivered,6654.09,Standard,949 Mueller Mission,949 Mueller Mission,PayPal,2024-10-08,LOC003
ORD0000071,CUS000047,2024-10-04 12:14:41,Delivered,14584.49,Express,46161 Ortega Fork Apt. 399,46161 Ortega Fork Apt. 399,PayPal,2024-10-06,LOC010
ORD0000072,CUS000014,2024-10-04 12:47:41,Delivered,8503.51,Next Day,240 Lewis Park,240 Lewis Park,PayPal,2024-10-05,LOC002
ORD0000073,CUS000014,2024-10-05 17:21:41,Delivered,5479.64,Standard,240 Lewis Park,240 Lewis Park,Credit Card,2024-10-10,LOC003
ORD0000074,CUS000066,2024-10-05 17:53:41,Delivered,1817.87,Pick up in store,712 Andrew Ranch,712 Andrew Ranch,Credit Card,2024-10-09,LOC008
ORD0000075,CUS000040,2024-10-06 09:45:41,Delivered,6490.79,Express,9433 Jackie Key,9433 Jackie Key,Bank Transfer,2024-10-09,LOC017
ORD0000076,CUS000052,2024-10-05 22:27:41,Delivered,3232.07,Standard,28803 Kyle Island,28803 Kyle Island,Credit Card,2024-10-07,LOC019
ORD0000077,CUS000080,2024-10-06 07:01:41,Delivered,4883.15,Next Day,84198 Mitchell Light,84198 Mitchell Light,PayPal,2024-10-11,LOC004
ORD0000078,CUS000025,2024-10-05 13:50:41,Delivered,5288.629999999999,Next Day,554 Phillips Spring,554 Phillips Spring,PayPal,2024-10-07,LOC017
ORD0000079,CUS000097,2024-10-05 22:02:41,Delivered,3671.4,Next Day,728 Laurie Cape,728 Laurie Cape,Bank Transfer,2024-10-06,LOC002
ORD0000080,CUS000022,2024-10-06 00:08:41,Delivered,1401.9099999999999,Express,290 Hodges Pine,290 Hodges Pine,PayPal,2024-10-09,LOC019
ORD0000081,CUS000004,2024-10-06 00:09:41,Delivered,8459.35,Express,86781 Webb Tunnel Apt. 880,86781 Webb Tunnel Apt. 880,Credit Card,2024-10-08,LOC009
ORD0000082,CUS000035,2024-10-05 23:11:41,Delivered,4552.56,Pick up in store,0435 Mullins Canyon,0435 Mullins Canyon,Credit Card,2024-10-10,LOC020
ORD0000083,CUS000018,2024-10-05 19:31:41,Delivered,317.21000000000004,Standard,693 Kathryn Extension,693 Kathryn Extension,PayPal,2024-10-11,LOC016
ORD0000084,CUS000083,2024-10-05 14:44:41,Delivered,9868.35,Next Day,808 Joseph Center Suite 987,808 Joseph Center Suite 987,Bank Transfer,2024-10-12,LOC015
ORD0000085,CUS000001,2024-10-06 22:45:41,Delivered,6929.270000000001,Standard,45447 Ryan Springs Suite 790,45447 Ryan Springs Suite 790,PayPal,2024-10-08,LOC007
ORD0000086,CUS000087,2024-10-07 05:05:41,Delivered,6886.18,Pick up in store,99137 Scott Streets Suite 891,99137 Scott Streets Suite 891,PayPal,2024-10-12,LOC010
ORD0000087,CUS000041,2024-10-07 03:04:41,Delivered,1364.48,Express,312 Mathew Route Suite 835,312 Mathew Route Suite 835,Bank Transfer,2024-10-13,LOC013
ORD0000088,CUS000063,2024-10-07 00:50:41,Delivered,2302.37,Next Day,6888 Emily Underpass,6888 Emily Underpass,Credit Card,2024-10-08,LOC018
ORD0000089,CUS000085,2024-10-07 08:20:41,Delivered,620.55,Standard,65310 Smith Causeway,65310 Smith Causeway,PayPal,2024-10-12,LOC012
ORD0000090,CUS000017,2024-10-07 02:14:41,Delivered,10709.12,Pick up in store,4207 Craig Causeway,4207 Craig Causeway,Credit Card,2024-10-13,LOC017
ORD0000091,CUS000070,2024-10-06 11:30:41,Delivered,3110.7,Express,17993 Lee Cove Apt. 976,17993 Lee Cove Apt. 976,Bank Transfer,2024-10-08,LOC014
ORD0000092,CUS000024,2024-10-07 05:10:41,Delivered,2346.32,Pick up in store,574 Gonzales Lodge Apt. 681,574 Gonzales Lodge Apt. 681,Bank Transfer,2024-10-11,LOC017
ORD0000093,CUS000080,2024-10-06 22:13:41,Delivered,4762.799999999999,Standard,84198 Mitchell Light,84198 Mitchell Light,Credit Card,2024-10-11,LOC008
ORD0000094,CUS000090,2024-10-06 22:57:41,Delivered,5539.099999999999,Next Day,9210 Morris Turnpike Suite 212,9210 Morris Turnpike Suite 212,PayPal,2024-10-10,LOC005
ORD0000095,CUS000021,2024-10-06 14:51:41,Delivered,1705.6,Standard,873 Paul Lakes,873 Paul Lakes,Credit Card,2024-10-11,LOC016
ORD0000096,CUS000078,2024-10-07 08:45:41,Delivered,2087.1,Pick up in store,783 Hudson Mill Suite 171,783 Hudson Mill Suite 171,Bank Transfer,2024-10-08,LOC016
ORD0000097,CUS000049,2024-10-07 10:46:41,Delivered,751.71,Next Day,8581 Katelyn Pike Apt. 739,8581 Katelyn Pike Apt. 739,PayPal,2024-10-12,LOC010
ORD0000098,CUS000041,2024-10-06 14:21:41,Delivered,12212.420000000002,Standard,312 Mathew Route Suite 835,312 Mathew Route Suite 835,Bank Transfer,2024-10-10,LOC013
ORD0000099,CUS000050,2024-10-07 04:36:41,Delivered,5399.490000000001,Pick up in store,739 Garcia Spur Apt. 819,739 Garcia Spur Apt. 819,Bank Transfer,2024-10-14,LOC016
ORD0000100,CUS000003,2024-10-06 13:44:41,Delivered,3761.2299999999996,Standard,22024 Harrison Roads,22024 Harrison Roads,Bank Transfer,2024-10-09,LOC003
ORD0000101,CUS000081,2024-10-06 22:43:41,Delivered,3339.21,Pick up in store,335 Kyle Crescent Apt. 760,335 Kyle Crescent Apt. 760,PayPal,2024-10-08,LOC007
ORD0000102,CUS000008,2024-10-06 16:24:41,Delivered,679.12,Next Day,949 Mueller Mission,949 Mueller Mission,PayPal,2024-10-11,LOC004
ORD0000103,CUS000048,2024-10-07 09:37:41,Delivered,3051.82,Standard,1997 Shelly Shore,1997 Shelly Shore,Bank Transfer,2024-10-09,LOC002
ORD0000104,CUS000052,2024-10-06 18:28:41,Delivered,682.24,Pick up in store,28803 Kyle Island,28803 Kyle Island,Credit Card,2024-10-09,LOC020
ORD0000105,CUS000072,2024-10-07 07:32:41,Delivered,1160.9,Standard,022 Brennan Vista,022 Brennan Vista,Bank Transfer,2024-10-09,LOC005
ORD0000106,CUS000003,2024-10-08 01:08:41,Delivered,1144.86,Next Day,22024 Harrison Roads,22024 Harrison Roads,Credit Card,2024-10-11,LOC005
ORD0000107,CUS000071,2024-10-07 12:50:41,Delivered,2956.51,Express,085 Aaron Crescent Apt. 676,085 Aaron Crescent Apt. 676,Bank Transfer,2024-10-14,LOC015
ORD0000108,CUS000098,2024-10-07 16:14:41,Delivered,6777.47,Express,4693 Ashley Centers,4693 Ashley Centers,PayPal,2024-10-13,LOC005
ORD0000109,CUS000014,2024-10-07 20:57:41,Delivered,1352.44,Next Day,240 Lewis Park,240 Lewis Park,Credit Card,2024-10-13,LOC015
ORD0000110,CUS000017,2024-10-07 14:38:41,Delivered,3116.7400000000002,Express,4207 Craig Causeway,4207 Craig Causeway,PayPal,2024-10-13,LOC006
ORD0000111,CUS000034,2024-10-07 20:16:41,Delivered,4972.33,Next Day,81729 Mccall Meadows,81729 Mccall Meadows,PayPal,2024-10-10,LOC005
ORD0000112,CUS000029,2024-10-07 22:54:41,Delivered,7158.42,Express,248 Schaefer Alley,248 Schaefer Alley,Bank Transfer,2024-10-12,LOC014
ORD0000113,CUS000026,2024-10-07 14:42:41,Delivered,2720.55,Pick up in store,305 Newton Bypass,305 Newton Bypass,PayPal,2024-10-13,LOC016
ORD0000114,CUS000005,2024-10-07 23:28:41,Delivered,2201.75,Standard,55835 Christopher Parkways Suite 486,55835 Christopher Parkways Suite 486,Credit Card,2024-10-11,LOC017
ORD0000115,CUS000090,2024-10-07 12:20:41,Delivered,7121.24,Pick up in store,9210 Morris Turnpike Suite 212,9210 Morris Turnpike Suite 212,Bank Transfer,2024-10-14,LOC018
ORD0000116,CUS000054,2024-10-07 20:00:41,Delivered,1398.12,Pick up in store,00532 Matthew Fork Suite 143,00532 Matthew Fork Suite 143,Credit Card,2024-10-09,LOC002
ORD0000117,CUS000078,2024-10-08 07:55:41,Delivered,1193.85,Pick up in store,783 Hudson Mill Suite 171,783 Hudson Mill Suite 171,PayPal,2024-10-15,LOC011
ORD0000118,CUS000024,2024-10-07 11:38:41,Delivered,11001.09,Express,574 Gonzales Lodge Apt. 681,574 Gonzales Lodge Apt. 681,PayPal,2024-10-14,LOC004
ORD0000119,CUS000062,2024-10-07 22:28:41,Delivered,2822.41,Standard,9634 Thomas Vista,9634 Thomas Vista,Credit Card,2024-10-11,LOC015
ORD0000120,CUS000086,2024-10-07 17:47:41,Delivered,4779.96,Next Day,023 Melissa Crossroad Apt. 855,023 Melissa Crossroad Apt. 855,Bank Transfer,2024-10-13,LOC002
ORD0000121,CUS000047,2024-10-07 19:58:41,Delivered,3060.57,Next Day,46161 Ortega Fork Apt. 399,46161 Ortega Fork Apt. 399,Credit Card,2024-10-09,LOC019
ORD0000122,CUS000022,2024-10-07 12:14:41,Delivered,2948.63,Pick up in store,290 Hodges Pine,290 Hodges Pine,Credit Card,2024-10-14,LOC004
ORD0000123,CUS000025,2024-10-08 06:06:41,Delivered,6277.88,Standard,554 Phillips Spring,554 Phillips Spring,PayPal,2024-10-14,LOC012
ORD0000124,CUS000068,2024-10-08 05:58:41,Delivered,6411.45,Next Day,165 Walker Mill,165 Walker Mill,PayPal,2024-10-09,LOC011
ORD0000125,CUS000027,2024-10-08 01:09:41,Delivered,2437.55,Express,8148 John Course Suite 159,8148 John Course Suite 159,Credit Card,2024-10-15,LOC007
ORD0000126,CUS000004,2024-10-08 07:07:41,Delivered,2795.52,Standard,86781 Webb Tunnel Apt. 880,86781 Webb Tunnel Apt. 880,Credit Card,2024-10-14,LOC020
ORD0000127,CUS000057,2024-10-08 04:40:41,Delivered,7075.379999999999,Next Day,647 Mcgee Manors,647 Mcgee Manors,PayPal,2024-10-14,LOC009
ORD0000128,CUS000095,2024-10-08 09:44:41,Delivered,4035.04,Pick up in store,1425 Williams Mountain,1425 Williams Mountain,Bank Transfer,2024-10-11,LOC008
ORD0000129,CUS000075,2024-10-07 16:21:41,Delivered,7921.839999999999,Pick up in store,10585 Shaun Squares Suite 674,10585 Shaun Squares Suite 674,PayPal,2024-10-14,LOC002
ORD0000130,CUS000093,2024-10-07 12:27:41,Delivered,1802.19,Next Day,443 Evans Pine Apt. 602,443 Evans Pine Apt. 602,Bank Transfer,2024-10-11,LOC012
ORD0000131,CUS000002,2024-10-08 02:29:41,Delivered,6398.13,Express,7944 Rich Turnpike,7944 Rich Turnpike,Credit Card,2024-10-14,LOC011
ORD0000132,CUS000100,2024-10-07 14:19:41,Delivered,4421.64,Next Day,14536 Holly Trail,14536 Holly Trail,Bank Transfer,2024-10-10,LOC008
ORD0000133,CUS000034,2024-10-07 18:48:41,Delivered,596.61,Express,81729 Mccall Meadows,81729 Mccall Meadows,Credit Card,2024-10-09,LOC004
ORD0000134,CUS000078,2024-10-08 05:13:41,Delivered,9001.98,Pick up in store,783 Hudson Mill Suite 171,783 Hudson Mill Suite 171,Credit Card,2024-10-12,LOC016
ORD0000135,CUS000099,2024-10-07 12:17:41,Delivered,5479.469999999999,Standard,385 Diana Mountain,385 Diana Mountain,PayPal,2024-10-10,LOC004
ORD0000136,CUS000066,2024-10-08 11:20:41,Delivered,3578.32,Pick up in store,712 Andrew Ranch,712 Andrew Ranch,Credit Card,2024-10-13,LOC001
ORD0000137,CUS000061,2024-10-08 19:20:41,Delivered,5364.49,Express,8595 Joshua Pine,8595 Joshua Pine,Bank Transfer,2024-10-12,LOC018
ORD0000138,CUS000095,2024-10-08 16:01:41,Delivered,365.09999999999997,Next Day,1425 Williams Mountain,1425 Williams Mountain,PayPal,2024-10-10,LOC012
ORD0000139,CUS000024,2024-10-08 19:41:41,Delivered,10766.78,Express,574 Gonzales Lodge Apt. 681,574 Gonzales Lodge Apt. 681,Bank Transfer,2024-10-14,LOC013
ORD0000140,CUS000082,2024-10-08 16:13:41,Delivered,292.08,Next Day,3913 Chambers Park Apt. 634,3913 Chambers Park Apt. 634,PayPal,2024-10-12,LOC010
ORD0000141,CUS000093,2024-10-09 07:22:41,Delivered,7627.290000000001,Next Day,443 Evans Pine Apt. 602,443 Evans Pine Apt. 602,Credit Card,2024-10-11,LOC008
ORD0000142,CUS000069,2024-10-08 18:43:41,Delivered,1400.1699999999998,Next Day,56017 Michelle Trace Apt. 592,56017 Michelle Trace Apt. 592,Credit Card,2024-10-13,LOC002
ORD0000143,CUS000074,2024-10-09 05:31:41,Delivered,3712.96,Standard,42549 Zavala Lakes Suite 652,42549 Zavala Lakes Suite 652,PayPal,2024-10-16,LOC016
ORD0000144,CUS000004,2024-10-09 03:59:41,Delivered,5619.37,Standard,86781 Webb Tunnel Apt. 880,86781 Webb Tunnel Apt. 880,Credit Card,2024-10-11,LOC012
ORD0000145,CUS000049,2024-10-09 04:20:41,Delivered,1406.83,Express,8581 Katelyn Pike Apt. 739,8581 Katelyn Pike Apt. 739,PayPal,2024-10-10,LOC002
ORD0000146,CUS000063,2024-10-08 15:41:41,Delivered,4649.12,Standard,6888 Emily Underpass,6888 Emily Underpass,Credit Card,2024-10-09,LOC009
ORD0000147,CUS000044,2024-10-08 14:11:41,Delivered,108.84,Next Day,28472 Anderson Bypass,28472 Anderson Bypass,Credit Card,2024-10-12,LOC011
ORD0000148,CUS000096,2024-10-08 18:12:41,Delivered,8584.84,Next Day,997 Debra Road,997 Debra Road,Credit Card,2024-10-14,LOC016
ORD0000149,CUS000046,2024-10-09 10:24:41,Delivered,294.63,Next Day,0384 Michelle Cape,0384 Michelle Cape,PayPal,2024-10-14,LOC008
ORD0000150,CUS000085,2024-10-08 13:52:41,Delivered,8533.439999999999,Next Day,65310 Smith Causeway,65310 Smith Causeway,PayPal,2024-10-15,LOC004
ORD0000151,CUS000097,2024-10-08 15:11:41,Delivered,7845.219999999999,Pick up in store,728 Laurie Cape,728 Laurie Cape,PayPal,2024-10-13,LOC012
ORD0000152,CUS000008,2024-10-08 14:29:41,Delivered,1186.5,Standard,949 Mueller Mission,949 Mueller Mission,PayPal,2024-10-14,LOC015
ORD0000153,CUS000095,2024-10-09 06:22:41,Delivered,5208.01,Pick up in store,1425 Williams Mountain,1425 Williams Mountain,Bank Transfer,2024-10-15,LOC015
ORD0000154,CUS000059,2024-10-08 20:32:41,Delivered,7439.6900000000005,Standard,604 Jones Courts Apt. 869,604 Jones Courts Apt. 869,Credit Card,2024-10-10,LOC018
ORD0000155,CUS000046,2024-10-09 03:26:41,Delivered,549.42,Express,0384 Michelle Cape,0384 Michelle Cape,PayPal,2024-10-15,LOC002
ORD0000156,CUS000057,2024-10-08 21:54:41,Delivered,590.45,Pick up in store,647 Mcgee Manors,647 Mcgee Manors,PayPal,2024-10-12,LOC008
ORD0000157,CUS000035,2024-10-10 06:04:41,Delivered,589.54,Next Day,0435 Mullins Canyon,0435 Mullins Canyon,Credit Card,2024-10-12,LOC003
ORD0000158,CUS000049,2024-10-09 20:26:41,Delivered,265.25,Standard,8581 Katelyn Pike Apt. 739,8581 Katelyn Pike Apt. 739,PayPal,2024-10-10,LOC015
ORD0000159,CUS000045,2024-10-09 16:32:41,Delivered,3218.3900000000003,Standard,14062 Oliver Spurs,14062 Oliver Spurs,PayPal,2024-10-14,LOC015
ORD0000160,CUS000023,2024-10-09 14:39:41,Delivered,5147.24,Next Day,245 Hall Cove,245 Hall Cove,Bank Transfer,2024-10-12,LOC008
ORD0000161,CUS000071,2024-10-09 12:01:41,Delivered,3592.42,Express,085 Aaron Crescent Apt. 676,085 Aaron Crescent Apt. 676,PayPal,2024-10-13,LOC016
ORD0000162,CUS000068,2024-10-09 11:07:41,Delivered,2469.09,Pick up in store,165 Walker Mill,165 Walker Mill,Credit Card,2024-10-10,LOC013
ORD0000163,CUS000004,2024-10-10 06:09:41,Delivered,9973.24,Next Day,86781 Webb Tunnel Apt. 880,86781 Webb Tunnel Apt. 880,Bank Transfer,2024-10-14,LOC011
